errata_header,errata_text,question,answer,applies_to
,,Do rules such as the Insurmountable Odds Detachment rule and the Carnifexes’ Blistering Assault ability let me choose between not moving the unit in question or moving the unit as far as possible following the conditions?,Yes.,datasheet: Carnifexes; detachment
Kayvaan Shrike,"Add new ‘**Inspiring Commander**’ section: | ‘If you include this model in your army, until the end of the battle, non-**CHARACTER** models in **ASSAULT INTERCESSORS WITH JUMP PACKS** units from your army have an Objective Control characteristic of 2 while they are not Battle-shocked.’",,,datasheet: Kayvaan Shrike
"Veterans of the Long War Detachment, Millennia of Experience Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
,,"If I roll one D6 for a Carnifexes unit’s Blistering Assault move and then choose not to move the models, do they still count as having made a Blistering Assault move that phase?","Yes, they have made a Blistering Assault move of 0"".",datasheet: Carnifexes
Kor’sarro Khan,"■ Add new ‘**Inspiring Commander**’ section: | ‘If you include this model in your army, until the end of the battle, non-**CHARACTER** models in **OUTRIDER SQUAD** units from your army have an Objective Control characteristic of 3 while they are not Battle-shocked.’ | ■ **Leader Section**: change to: | ‘This model can be attached to the following units: **ASSAULT INTERCESSOR SQUAD**, **BLADEGUARD VETERAN SQUAD**, **COMPANY HEROES**, **INTERCESSOR SQUAD**, **STERNGUARD VETERAN SQUAD**, **TACTICAL SQUAD**’",,,datasheet: Kor’sarro Khan
,,"When a **CARNIFEX** model makes a Blistering Assault move or an **ENDLESS MULTITUDE** model makes a Surge move, does that model have to move the full amount allowed by the dice result?","No, it can move any distance up to that allowed distance.",
"Land Raider Crusader, Land Raider Redeemer – Keywords Section",Add 'LAND RAIDER'.,,,datasheet: Land Raider Crusader; datasheet: Land Raider Redeemer
"Chaos Land Raider, Chaos Predator Annihilator, Chaos Predator Destructor, Chaos Rhino, Chaos Vindicator, Khorne Lord of Skulls, Noctilith Crown – Keywords Section",Add 'FRAME'.,,,datasheet: Chaos Land Raider; datasheet: Chaos Predator Annihilator; datasheet: Chaos Predator Destructor; datasheet: Chaos Rhino; datasheet: Chaos Vindicator; datasheet: Khorne Lord of Skulls; datasheet: Noctilith Crown
Heldrake,"■ **Profile**: Change **M** to 12"" and **OC** to '-'. | ■ **Keywords**: Remove '**AIRCRAFT**'.",,,datasheet: Heldrake
"Land Speeder, Keywords Section",Add 'FRAME'.,,,datasheet: Land Speeder
,,Does a unit affected by the Psychostatic Disruption Enhancement have to arrive from Reserves in the next Movement phase?,No.,enhancement
,,Does the Synaptic Goading Stratagem allow a unit to leave Engagement Range and move towards the closest objective marker?,Yes.,stratagem
"Lieutenant with Combi-Weapon, Evade and Survive Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to 6”.'",,,datasheet: Lieutenant with Combi-weapon
"Abaddon the Despoiler, Dark Destiny Ability","Change to: | ‘Each time this model’s unit makes a Dark Pact and does not fail the resulting **leadership roll**, if the result of that roll was 7+, you gain 1CP.’",,,datasheet: Abaddon the Despoiler
"Lieutenant in Phobos Armour, Strategic Dispersal Ability","Change to: | ‘In your Shooting phase, after this model’s unit has shot, if it is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 6"". If it does, until the end of the turn, that unit is not eligible to declare a charge.’",,,datasheet: Lieutenant in Phobos Armour
,,Can units targeted by the Shadow in the Warp army rule use the Insane Bravery Stratagem?,No. Insane Bravery can only be used in your Command phase.,army rule: Shadow in the Warp
"Accursed Cultists, Howling Horde Ability","Change to: | 'In your opponent's Shooting phase, when an enemy unit has shot, if a model from this unit was destroyed as a result of those attacks, this unit can make a surge move of up to D6"".'",,,datasheet: Accursed Cultists
"Lieutenant in Reiver Armour, master-crafted special issue bolt pistol",Change **AP** to ‘-1’.,,,datasheet: Lieutenant in Reiver Armour
"Cypher, Agent of Discord Ability","Change to: | '**Agent of Discord**: Once per turn, when your opponent targets a unit from their army within 12” of this model with a stratagem, you can use this ability. If you do increase the CP cost of tht use of that stratagem by 1CP.'",,,datasheet: Cypher
"Outrider Squad, Abilities Section","Remove the **Turbo-boost** ability and add the following ability: | ‘**Thunderous Impact**: Each time a model in this unit makes a melee attack, if this unit made a Charge move this turn, improve the Strength and Damage characteristics of that attack by 1.’",,,datasheet: Outrider Squad
"Fabius Bile, Chirurgeon Ability","Change to: | ‘The first time this unit’s **FABIUS BILE** model is destroyed, at the end of the phase, roll one D6: on a 2+, set it back up on the battlefield, as close as possible to where it was destroyed and not within Engagement Range of any enemy models, with its full wounds remaining.'",,,datasheet: Fabius Bile
Pedro Kantor,"Add new ‘**Inspiring Commander**’ section: | ‘If you include this model in your army, until the end of the battle, non-**CHARACTER** models in **STERNGUARD VETERAN SQUAD** units from your army have an Objective Control characteristic of 2 while they are not Battle-shocked.’",,,datasheet: Pedro Kantor
"Chaos Lord in Terminator Armour, Keywords Section",Add ‘**CHAOS LORD**’.,,,datasheet: Chaos Lord in Terminator Armour
"Chaos Rhino, Wargear Options",Change the second bullet point to: | ‘• This model can be equipped with 1 havoc launcher or can replace 1 combi-bolter with 1 havoc launcher.’,,,datasheet: Chaos Rhino
"Predator Annihilator, Annihilator Ability","Change to: | ‘Each time a ranged attack made by this model is allocated to a **MONSTER** or **VEHICLE** model, you can re‑roll the Damage roll.’",,,datasheet: Predator Annihilator
"Chaos Predator Annihilator, Annihilator Ability","Change to: | ‘Each time a ranged attack made by this model is allocated to a **MONSTER** or **VEHICLE** model, you can re‑roll the Damage roll.’",,,datasheet: Chaos Predator Annihilator
Reiver Squad,"■ **Fearsome Assault Ability** | Change to: | ‘At the start of the Fight phase, each enemy unit within Engagement Range of one or more units with this ability must take a Battle-shock test, subtracting 1 from that test.’ | ■ **Terror Troops Ability** | Change to: | ‘While an enemy unit (excluding **MONSTERS** and **VEHICLES**) is within 3"" of one or more units with this ability, subtract 1 from the Objective Control characteristic of models in that enemy unit.",,,datasheet: Reiver Squad
"Chaos Predator Destructor, Melee Weapons, Armoured Tracks",Change **WS** to ‘4+’.,,,datasheet: Chaos Predator Destructor
"Repulsor, Transport Section","Change to: | ‘This model has a transport capacity of 14 **ADEPTUS ASTARTES INFANTRY** models. Each **JUMP PACK**, **WULFEN**, **GRAVIS** or **TERMINATOR** model takes up the space of 2 models and each **CENTURION** model takes up the space of 3 models.’",,,datasheet: Repulsor
"Repulsor Executioner, Transport Section","Change to: | ‘This model has a transport capacity of 7 **ADEPTUS ASTARTES INFANTRY** models. Each **JUMP PACK**, **WULFEN**, **GRAVIS** or **TERMINATOR** model takes up the space of 2 models and each **CENTURION** model takes up the space of 3 models.’",,,datasheet: Repulsor Executioner
Roboute Guilliman,"■ **Author of the Codex Ability** – Change to: | ‘At the Start of your Command phase, select two Author of the Codex abilities (see left). Until the start of your next Command phase, this model has those abilities.’ | ■ **Supreme Strategist Ability** – Change to: | ‘Once per battle round, one model from your army with this ability can use it when a friendly ADEPTUS ASTARTES unit within 12"" of that model is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.’",,,datasheet: Roboute Guilliman
"Heretic Astartes Daemon Prince, Abilities Section","Add the following: | ‘**Lord of Chaos**: While this model is within 3"" of a friendly **HERETIC ASTARTES INFANTRY** unit, this model has **Lone Operative**.’",,,datasheet: Heretic Astartes Daemon Prince
"Sternguard Veteran Squad, Sternguard Focus Ability","Change to: | ‘Each time a model in this unit makes an attack that targets your Oath of Moment target, you can re-roll the Wound roll.’",,,datasheet: Sternguard Veteran Squad
Lord Discordant on Helstalker,"■ **Move characteristic**: Change to 14"". | ■ **Invulnerable save**: Change to 4+. | ■ **Corrupt Machine Spirits ability**: Change to ‘At the start of your Shooting phase, select one visible enemy **VEHICLE** unit within 12"" of this model and roll one D6: on a 2-3, that enemy unit suffers D3 mortal wounds; on a 4-5, that enemy unit suffers 3 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.’ | ■ **Spirit Thief ability**: Change to ‘At the start of your Shooting phase, select one visible enemy **VEHICLE** unit. Until the end of the phase, each time a friendly **HERETIC ASTARTES** model makes an attack that targets that unit, re‑roll a Wound roll of 1.’ | ■ **Impaler chainglaive weapon profile**: change to: | **Impaler chainglaive** [LANCE] | Range - Melee | A - 5 | WS - 2+ | S - 8 | AP - -3 | D - 3",,,datasheet: Lord Discordant on Helstalker
"Stormhawk Interceptor, Stormtalon Gunship",■ **Core Abilities**: Remove 'Hover'. | ■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Stormhawk Interceptor
"Obliterators, Warp Rift Firepower Ability","Change to: | ‘**Warp Rift Firepower (Once per battle, per unit)**: In your Shooting phase, when this unit is **selected to shoot**, you can use this ability. If you do, this unit's ranged attacks have [INDIRECT FIRE].'",,,datasheet: Obliterators
Stormraven Gunship,"**Profile**: Change **M** to 14"". | **Keywords**: Remove 'AIRCRAFT'.",,,datasheet: Stormraven Gunship
Vashtorr the Arkifane,"■ **Abilities section**: add ‘Indentured Daemon Engines: While this model is within 3"" of one or more friendly DAEMON VEHICLE units, this model has the Lone Operative ability.’ | ■ **Reorder Reality ability**: change to 'Each time an enemy unit within 18"" of this model targets this model, subtract 1 from the Hit roll and, until the end of the phase, that enemy unit’s ranged weapons have the [HAZARDOUS] ability.’ | ■ **Unholy Mechanisms ability**: change to 'While a friendly DAEMON VEHICLE unit is within 6"" of this model, add 2 to the Strength characteristic of weapons equipped by models in that unit.’ | ■ **Vashtorr’s hammer weapon profile**: change to: | **Vashtorr’s hammer – strike** [ANTI-VEHICLE 4+, DEVASTATING WOUNDS] | Range - Melee | A - 6 | WS - 2+ | S - 14 | AP - -3 | D - 3 | **Vashtorr’s hammer – sweep** [ANTI-VEHICLE 4+, DEVASTATING WOUNDS] | Range - Melee | A - 12 | WS - 2+ | S - 8 | AP - -1 | D - 2",,,datasheet: Vashtorr the Arkifane
